# Запчасти и аксессуары
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент обратился с вопросом о найденной детали после ТО. Оператор рекомендует обратиться к специалистам дилерского центра. Клиент предлагает прислать фото детали.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется защитной сеткой радиатора для автомобиля Kia Ceed SW 2022. Оператор предлагает клиенту ознакомиться с доступными аксессуарами на официальном сайте Kia. Клиент отвечает, что уже смотрел. Оператор рекомендует обратиться к официальным дилерам Kia, где есть каталог оригинальных запасных частей и аксессуаров. Оператор также предоставляет ссылку на контакты дилеров на сайте Kia. Оператор спрашивает, есть ли у клиента еще вопросы.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется наличием дисков на Kia K5. Оператор рекомендует обратиться в официальный дилерский центр Kia для приобретения или заказа комплектующих и аксессуаров. Клиент благодарит и говорит, что будет звонить во Владивосток для уточнения всех вопросов. Оператор желает клиенту всего доброго.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется ценой на литые диски для Kia K5. Оператор рекомендует обратиться в официальный дилерский центр Kia для получения информации о стоимости и технических параметрах запасных частей и аксессуаров.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент хочет заказать запасные части для своего автомобиля к началу апреля. Он готов оплатить заранее. Оператор предлагает клиенту самостоятельно уточнить стоимость и наличие запасных частей на сайте. Клиент сообщает, что он хочет обратиться в Сервис+ на Симферопольском шоссе в Московской области. Оператор предлагает клиенту оформить заказ на сайте или обратиться в дилерский центр.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Константин интересуется, как обратиться к техническим специалистам Киа. Оператор объясняет, что на информационной линии нет технических специалистов и рекомендует обратиться к официальным дилерам. Оператор предоставляет контакты дилеров и возможность заказать обратный звонок. Константин благодарит и спрашивает, есть ли у него еще вопросы. Оператор объясняет, что информация о запасных частях и материалах предоставляется только официальными дилерами и предоставляет ссылку на список дилеров. Оператор также уточняет, какая информация интересует Константина и предлагает связаться с дилером для получения дополнительной информации. Константин благодарит и оператор подтверждает, что информационная линия не предоставляет информацию о запасных частях и деталях, и рекомендует обратиться к официальному дилеру. Оператор спрашивает, нужна ли еще помощь Константину.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется наличием автомобиля Seltos Premium+ 2022 от дилера с гарантией 5 лет. Оператор предлагает клиенту уточнить информацию на официальном сайте и обратиться к дилеру напрямую.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент хочет восстановить наклейку с данными Российского вин номера на своем автомобиле Киа Сиид 2018 года. Оператор объясняет, что наклейка носит только информационный характер и VIN номер дублируется в других местах на автомобиле. Оператор также уточняет, что ГИБДД не может отказать в регистрации автомобиля при утрате/повреждении наклейки, так как идентификационными считаются только номера, выбитые на кузове. Наклейка завода-изготовителя дублирует информацию и не является обязательной.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется решеткой радиатора нижней с накладкой на Kia Soul 2019.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент спрашивает о наличии заднего бампера для Kia ceed sw jd с отверстиями под парктроник. Оператор отвечает, что данная информация отсутствует на информационной линии и рекомендует обратиться к официальному дилеру Kia. Оператор также предоставляет ссылку на список и контакты всех дилеров.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется информацией о передней обшивке двери.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент обратился с вопросом о наличии запасных частей для замены лобового стекла на автомобиле Kia Sportage по КАСКО. Оператор сообщил, что информацию по сроку и процессу заказа и поставки запасных частей предоставляют официальные дилеры Kia. Клиент выразил недовольство ситуацией и оператор предложил обратиться к руководству дилерского центра с подробным описанием ситуации и пожеланиями к ее решению. Клиент поблагодарил оператора и заявил, что больше вопросов у него нет.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент запрашивает код краски для автомобиля Kia Spectra с указанным VIN-номером.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется ценой на заднее крыло для Церато.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется стоимостью двигателя на Kia Cerato 2012 года. Оператор рекомендует обратиться в дилерский центр Kia для получения информации о приобретении, сроке и процессе заказа и поставки запасных частей.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется, как посмотреть наличие запчастей. Оператор предлагает проверить информацию на официальном сайте и обратиться к официальному дилеру. Оператор также спрашивает, нужна ли еще помощь.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется возможностью установки колес с шиной 225/65 R17 на автомобиль Kia Sportage 2017 года выпуска. Оператор рекомендует обратиться в ближайший официальный дилерский центр Kia для получения информации о приобретении и установке комплектующих и аксессуаров.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Оператор предлагает обратиться в официальный дилерский центр Kia для приобретения запчастей и аксессуаров. Он также предоставляет ссылку на сайт с информацией о дилерах в Пятигорске.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент хочет купить запчасти. Оператор рекомендует обратиться в ближайший официальный дилерский центр Kia. Клиент уточняет про цепь грм, но оператор не понимает и предлагает воспользоваться кнопками или перейти в главное меню.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется наличием автомобиля Киа Рио в Симферополе. Оператор информирует клиента о том, что продажей автомобилей занимаются официальные дилерские центры и рекомендует обратиться к дилеру для уточнения информации о наличии и условиях приобретения. Клиент благодарит оператора.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется наличием конфигурации на селтос 1,6 2021 года выпуска и просит помощи в поиске на сайте. Оператор отвечает, что по всем конфигурациям нужно обращаться к дилеру, список которых можно найти на сайте www.kia.ru.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется наличием нового автомобиля Kia Sorento в белом цвете с комплектацией не хуже Prestige.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется каталогом на Соренто, предпочтительно европейским.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется наличием и стоимостью автомобиля KIA Seltos Luxe 1,6 передний привод, автомат. Оператор запрашивает город клиента, чтобы уточнить наличие автомобиля. Клиент указывает город Челябинск, но говорит, что автомобиля нет в наличии и рассматривает возможность приобретения в Москве. Оператор извиняется и предлагает узнать более подробную информацию на сайте. Клиент спрашивает о наличии автомобиля в Москве и Московской области. Оператор сообщает, что в Москве доступно 22 варианта комплектаций и предлагает посмотреть каталог. Клиент спрашивает о возможности связи с одним оператором и о наличии автомобилей и их стоимости. Клиент также жалуется на несоответствие информации на сайте и реальности. Оператор объясняет, что информация на сайте является информационной и рекомендует уточнять вопросы в дилерских центрах.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется наличием автомобиля Киа Рио на механической коробке передач с объемом двигателя 1.6 и черного цвета. Оператор сообщает, что данный автомобиль есть в наличии в Москве и Магнитогорске, и предоставляет контактные данные дилерских центров. Клиент также интересуется комплектацией автомобиля в Москве, на что оператор предоставляет информацию и ссылку на подробную информацию о комплектации. Клиент благодарит и говорит, что напишет, если возникнут еще вопросы. Оператор прощается и желает всего доброго.
## Случай  в прошлом месяце
Клиент интересуется, есть ли у Kia Optima возможность установить багажник на крышу. Оператор предлагает клиенту обратиться в отдел сервиса дилерского центра для получения подробной консультации.
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется возможностью изменения цены на нормочас, если он привезет свои запчасти. Оператор предлагает обратиться в отдел сервиса дилерского центра для получения подробной консультации. Клиент также интересуется, могут ли цены на ТО меняться в зависимости от региона. Оператор объясняет, что дилеры являются локальными представителями марки и могут действовать как самостоятельные юридические организации.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент обращается к оператору с вопросом о возможности заказа запчастей для своего автомобиля Kia Sportage. Оператор рекомендует обратиться в ближайший официальный дилерский центр Kia для заказа запчастей. Клиент уточняет, что уже обращался в дилерский центр, но не получил помощи. Оператор советует обратиться к руководству дилерского центра и предлагает обратиться к ним снова, если не будет получен обоснованный ответ. Клиент указывает, что руководство дилерского центра сообщило, что нужных запчастей нет на складе и они не могут помочь. Оператор повторяет совет обратиться к руководству и предлагает отправить данные для обратной связи с Kia. Клиент указывает, что дилерский центр, где он покупал автомобиль, все еще имеет статус официального дилера. Оператор подтверждает, что данный дилерский центр является официальным и спрашивает, нужна ли еще помощь клиенту.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется наличием оборудования. Оператор объясняет, что обслуживанием автомобилей занимаются официальные дилерские центры, которые имеют необходимое оборудование и обученный персонал. Оператор предлагает обратиться к дилеру напрямую и указывает на доступность списка и координат всех официальных дилеров на сайте www.kia.ru.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется ситуацией с запчастями для Kia Ceratopsian 4 поколение рестайлинг. Дилер не может доставить бампер после страхового случая. Клиент спрашивает о почте руководства дилера в Рязани. Оператор предлагает обратиться к руководству дилерского центра для решения вопроса.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент обратился к оператору с вопросом о наличии определенных масел у дилера. Оператор рекомендовал уточнить эту информацию у специалистов дилерского центра. Клиент поблагодарил и сказал, что пока не нуждается в дополнительной консультации. Оператор сообщил, что у них нет технических специалистов, но клиент может обратиться в сервисный отдел. Клиент еще раз поблагодарил и выразил свою уверенность в поддержке КИА.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется информацией о дефлекторах арт R8222P1000, хочет узнать фирму-производителя. Оператор рекомендует обратиться к официальным дилерам для получения точной информации. Клиент выражает недовольство, так как ожидал получить ответ от оператора. Оператор повторяет, что продажа запчастей и аксессуаров относится к компетенции дилерских центров и рекомендует связаться с отделом запчастей. Оператор спрашивает, есть ли у клиента еще вопросы.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется стоимостью запчасти в г. Симферополь, спрашивает, где ждать ответа и когда ответят. Затем выражает желание поехать купить. Оператор просит уточнить интересующую информацию. Клиент задает вопрос, жив ли оператор.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется, являются ли детали 8612a2000 и 8612a2600 взаимозаменяемыми. Оператор рекомендует обратиться в ближайший официальный дилерский центр Kia для получения информации о приобретении и заказе комплектующих и аксессуаров, а также для уточнения технических параметров запасных частей и аксессуаров.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется наличием новых машин на сайте Kia. Оператор объясняет, что на сайте можно ознакомиться с моделями, которые есть в продаже, но окончательную информацию по наличию автомобилей предоставляет дилерский центр.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется наличием проблем с поставками кузовных запчастей дилерам, а также запрашивает главное меню.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется наличием люка в комплектации Kia Ceed. Оператор рекомендует обратиться в официальные дилерские центры Kia. Клиент выражает недовольство и просит дополнительную информацию. Оператор предлагает уточнить, нуждается ли клиент в дополнительной помощи.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется, одинаковый ли ступичный подшипник передний/задний, левый/правый для Киа Соренто Прайм 2015 г.в. Оператор рекомендует обратиться к официальным дилерам, так как они компетентны в данном вопросе. Клиент не уверен в компетентности оператора и дилеров. Оператор подтверждает, что технические специалисты на Информационной линии Kia отсутствуют. Клиент благодарит оператора и закрывает диалог.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент спрашивает, входит ли замена рулевых наконечников в ТО-3. Оператор отвечает, что замена данной запчасти не входит в перечень работ ТО. Клиент также интересуется, как узнать артикул запчасти, на что оператор отвечает, что компания не предоставляет информацию о номерах запасных частей и рекомендует обратиться в официальный дилерский центр. Клиент благодарит и завершает разговор.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется наличием запчасти в России. Оператор рекомендует обратиться к официальным дилерам Kia. Клиент выражает недовольство и угрожает обратиться в прокуратуру. Оператор продолжает рекомендовать обратиться к дилеру и предлагает оставить обращение через форму обратной связи. Клиент жалуется на бесполезные звонки и отсутствие запчасти даже по гарантии. Оператор повторно рекомендует оставить обращение через форму обратной связи и уточняет, нужна ли консультация по другим вопросам. Клиент просит начать чат с оператором и жалуется на отсутствие связи со сотрудником. Оператор извиняется и уточняет, по какому вопросу должны были связаться. Клиент упоминает о запросе в прокуратуру и Роспотребнадзор. Оператор предлагает помощь и уточняет, какая информация интересует клиента. Диалог завершается, так как от клиента не поступают сообщения.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент спрашивает, можно ли поменять летние шины на автомобиле Спортейдж 3. Оператор отвечает, что в данном чате не предоставляется консультация технического специалиста и рекомендует обратиться к официальным дилерам. Оператор также предоставляет контакты дилеров. Клиент отвечает, что у него больше нет вопросов и благодарит.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется почему информация на сайте не соответствует действительности в плане наличия и стоимости автомобилей. Оператор объясняет, что каждый дилерский центр KIA обладает наиболее полной информацией о поставках автомобилей на свой склад и рекомендует обращаться в дилерские центры KIA напрямую. Оператор также уточняет, что информация на сайте носит исключительно информационный характер и может отличаться от действительности. Для подробной консультации клиенту рекомендуется обратиться к дилеру.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент спрашивает, есть ли автомобиль Kia Rio в Сочи. Оператор отвечает, что актуальную информацию о наличии автомобилей на складе можно узнать у дилера. Оператор предоставляет ссылку на официальный сайт дилера. Оператор также спрашивает, нужна ли еще помощь клиенту. Клиент не отвечает, и диалог завершается.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент задает вопрос о возможности заказа наклейки и месте, где можно ее заказать. Оператор объясняет, что наклейка носит только информационный характер и не является обязательной. Клиент интересуется о наличии информационного письма, на которое можно сослаться. Оператор отвечает, что информацией о законодательном документе не располагает. Клиент упоминает о возможности обратиться к дилеру и официальном письме от ГИБДД. Оператор объясняет, что дилеры не выдают дубликаты наклеек и рекомендует направить информацию через форму обратной связи на официальном сайте. Диалог завершается, так как от клиента не поступают сообщения в течение длительного времени.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется стоимостью лобового стекла. Оператор предоставляет общую информацию о запасных частях и аксессуарах на сайте и рекомендует обратиться в ближайший официальный дилерский центр Kia. Оператор также предоставляет список и координаты всех официальных дилеров Kia.
## Случай  в прошлом месяце
Запчасти и аксессуары. Случай  в прошлом месяце. Клиент интересуется стоимостью антикорозийного покрытия днища своего автомобиля Kia Soul, 3 года. Оператор рекомендует обратиться к официальному дилеру Kia, так как они обладают необходимым оборудованием и специально обученным персоналом. Оператор также предоставляет ссылку на список и координаты всех официальных дилеров на сайте www.kia.ru.
# Жалобы и обращения
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент обращается к оператору с жалобой на отсутствие обратного звонка и работу программы KIA Assistance. Оператор объясняет, что служба работает в режиме повышенной загруженности из-за погодных условий и рекомендует обратиться по контактам на официальном сайте.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент интересуется, на какой адрес написать претензию дилеру или на общий сайт. Оператор рекомендует оставить обращение через форму обратной связи на сайте и указывает необходимую информацию для рассмотрения обращения. Оператор также предлагает обратиться к руководству дилерского центра. Диалог завершается, так как от клиента не поступают сообщения в течение длительного времени.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент обращается с вопросом о рассмотрении своего обращения, оператор объясняет процесс обработки и просит ожидать ответа на указанную электронную почту. Клиент выражает свое недовольство сроками рассмотрения и извиняется за давление. Оператор подтверждает получение обращения и извиняется за сложившуюся ситуацию.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент хочет узнать контакты для обращения с предложением или жалобой на конструкцию автомобилей КИА. Оператор предлагает клиенту оставить предложение на официальном сайте kia.ru в разделе 'Обратная связь'. Клиент отвечает, что у него нет дополнительных вопросов. Разговор завершается.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент интересуется, куда жаловаться на дилера по гарантийному обязательству. Оператор запрашивает у клиента необходимую информацию для рассмотрения обращения. Клиент просит оператора отправить ему электронную почту для прикрепления файлов и большого текста письма.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент задает вопросы о гарантии на сигнализацию и рассказывает о проблемах с брелоком. Оператор рекомендует обратиться к дилеру и предоставляет информацию официальных дилеров на сайте. Клиент жалуется на плохое обслуживание дилера и продолжительность проблем.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент обратился с вопросом о затягивающемся гарантийном ремонте. Оператор рекомендует клиенту обратиться к руководству дилерского центра Kia. Клиент интересуется, что делать, если руководство бездействует. Оператор предлагает клиенту оставить обращение на официальном сайте Kia.ru.
## Случай  в прошлом месяце
Клиент обращается с вопросом о статусе рассмотрения своего заказного письма, на которое он до сих пор не получил ответа. Оператор информирует клиента о сроке рассмотрения и объясняет, что срок получения ответа зависит от сроков доставки письма. Клиент также интересуется о дате и номере направленного ответа. Оператор сообщает, что не располагает такой информацией, если запрос был отправлен почтой в головной офис компании. Клиент спрашивает, как можно получить данную информацию.
Жалобы и обращения. Случай  в прошлом месяце. Клиенту предлагается оставить предложение через форму обратной связи на сайте компании.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент хочет направить претензию в главный офис из-за работы дилера. Оператор предоставляет клиенту информацию о том, как оставить обращение в адрес Киа Россия и СНГ через форму обратной связи на официальном сайте. Клиент соглашается и говорит, что этого достаточно.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент интересуется контактными данными представителя в РФ и юридической структурой, регулирующей и отвечающей за предоставление услуг официальных дилеров. Оператор объясняет, что каждый дилерский центр - отдельное юридическое лицо, а компания «Киа Россия и СНГ» является партнером дилерских центров, но не вышестоящей организацией. Клиент не удовлетворен ответом и хочет связаться с управляющим директором ООО «Киа Россия и СНГ», но оператор сообщает, что данной информации не представлено. Клиент выражает недовольство и говорит, что обратится непосредственно в корпорацию КИА в ЮК.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент задает несколько вопросов и выражает недоумение по поводу отсутствия ответа.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент интересуется процедурой написания жалобы на официального дилера. Оператор предлагает оставить обращение через форму обратной связи на сайте и заполнить необходимую информацию. Клиент благодарит и говорит, что все понятно.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент интересуется, где можно оставить претензию по качеству выполненных работ. Оператор предлагает клиенту направить информацию через форму на сайте www.kia.ru в разделе «Обратная связь». Клиент сообщает, что не может найти этот раздел.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент хочет оставить жалобу на дилера, так как отказали в ремонте лакокрасочного покрытия по гарантии из-за появления ржавчины. Клиент предоставил фото и утверждает, что это не механическое повреждение, а обычные жучки. Клиент не обратился к руководству дилерского центра. Оператор рекомендует обратиться к руководству и предоставляет информацию о том, как направить жалобу через форму обратной связи на сайте. Клиент выражает разочарование и заявляет, что больше не будет связываться с маркой автомобиля и не рекомендует ее.
## Случай  в прошлом месяце
Жалобы и обращения. Случай  в прошлом месяце. Клиент обращается с претензией по обращению по гарантии. Он приобрел автомобиль Sorento Prime, у которого с первых километров пробега была неисправна мультимедийная система. Он указывал на эту проблему во время прохождения каждого ТО, но проблему не удалось выявить. Клиент отправил письмо на информационную линию и получил ответ о необходимости отправить через сайт. Клиент не знает, как дополнить обращение. Он упоминает Егора Бирюкова, руководителя отдела сервиса автосалона, который говорит, что этот вопрос невозможно решить и предлагает расторгнуть договор купли-продажи. Клиент также упоминает, что после обращения у него нет никаких документов, и что ему сказали ждать ответа с Москвы. Он также упоминает, что Москва не отвечает на его запросы раз в 2 месяца.
